id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
BEGAIN_P1	5	0.092146	0.23194	0.936298	655	2	0.075957	0.54362	0.69115	0.999998	1653	2	0.075957
CIB2	5	0.092381	0.23234	0.936298	656	3	-0.16181	0.48276	0.64294	0.999998	1516	2	-0.16181
LCTL	5	0.092616	0.23268	0.936298	657	3	-0.087389	0.39531	0.57526	0.999998	1326	1	-0.087389
MAST1_P2	5	0.092668	0.23275	0.936298	658	3	-0.11048	0.96171	0.96211	0.999998	2658	0	-0.11048
ARL5B	5	0.093204	0.23353	0.938087	659	3	-0.078909	0.54588	0.69296	0.999998	1660	1	-0.078909
OGDH	5	0.093557	0.23414	0.938598	660	2	-0.076787	0.33548	0.53052	0.999998	1206	2	-0.076787
CACNB1	5	0.093675	0.23432	0.938598	661	2	0.080205	0.22734	0.41431	0.999998	932	3	0.080205
RPS6KA1_P2	5	0.094036	0.23487	0.939443	662	2	0.03181	0.29317	0.49946	0.999998	1134	2	0.03181
AKAP6	5	0.094976	0.23633	0.939443	663	3	-0.092846	0.9323	0.93226	0.999998	2538	0	-0.092846
CAMLG	5	0.095101	0.23648	0.939443	664	1	2.7484	4.1555e-05	0.00019753	0.010531	51	4	2.7484
SLC22A6	5	0.095212	0.23665	0.939443	665	3	-0.09556	0.86693	0.87373	0.999998	2313	1	-0.09556
VKORC1	5	0.095331	0.23684	0.939443	666	2	0.020704	0.3716	0.55765	0.999998	1272	2	0.020704
SLC12A5_P2	5	0.095455	0.23699	0.939443	667	2	0.056676	0.59812	0.73568	0.999998	1796	2	0.056676
HBB_P1	5	0.095806	0.23748	0.939443	668	3	-0.1144	0.84709	0.86043	0.999998	2267	1	-0.1144
DPEP1_P2	5	0.09581	0.23749	0.939443	669	3	-0.15496	0.91106	0.91134	0.999998	2454	1	-0.15496
BRDT	5	0.096873	0.23909	0.939443	670	2	-0.016985	0.095455	0.22959	0.999998	561	2	-0.016985
SLC13A1	5	0.096923	0.23914	0.939443	671	3	-0.14119	0.87116	0.87685	0.999998	2327	1	-0.14119
GRIA3	5	0.097236	0.23961	0.939443	672	2	-0.016613	0.33219	0.52822	0.999998	1201	2	-0.016613
MAST2	5	0.097236	0.23961	0.939443	673	3	-0.3261	0.0298	0.091499	0.768913	330	1	-0.3261
PRSS8	5	0.097315	0.23974	0.939443	674	3	-0.13586	0.57143	0.71377	0.999998	1718	2	-0.13586
non-targeting_00121	1	0.097326	0.097603	0.931373	675	1	-0.25916	0.90267	0.90314	0.999998	2422	0	-0.25916
KIF1A	5	0.097581	0.24017	0.939443	676	2	0.20342	0.11165	0.2532	0.999998	598	3	0.20342
CFTR	5	0.098022	0.24081	0.939443	677	3	-0.19954	0.89872	0.89944	0.999998	2403	1	-0.19954
SORD	5	0.098194	0.24104	0.939443	678	2	0.17901	0.12376	0.27084	0.999998	630	3	0.17901
TTK	5	0.098289	0.24116	0.939443	679	1	0.72544	0.031237	0.09518	0.790241	334	3	0.72544
non-targeting_00102	1	0.098402	0.098735	0.931373	680	1	-0.24034	0.9016	0.90206	0.999998	2416	0	-0.24034
non-targeting_00105	1	0.098709	0.099078	0.931373	681	1	-0.19385	0.90129	0.90177	0.999998	2415	0	-0.19385
EIF2AK4	5	0.099128	0.2424	0.940014	682	3	-0.28259	0.77707	0.82206	0.999998	2121	1	-0.28259
ADCK5	5	0.099349	0.24268	0.940014	683	1	-0.034914	0.37452	0.55975	0.999998	1278	2	-0.034914
QPRT_P2	5	0.099516	0.24288	0.940014	684	3	-0.11567	0.8215	0.84516	0.999998	2206	1	-0.11567
TSSK2	5	0.099637	0.24304	0.940014	685	2	-0.059318	0.27186	0.47306	0.999998	1074	2	-0.059318
C1S	5	0.099763	0.24324	0.940014	686	3	-0.14566	0.5921	0.73078	0.999998	1777	1	-0.14566
DDAH1	5	0.1004	0.24416	0.940014	687	3	-0.16692	0.23449	0.42377	0.999998	954	2	-0.16692
THRA	5	0.10041	0.24418	0.940014	688	3	-0.17832	0.2621	0.46019	0.999998	1037	2	-0.17832
ALPK1	5	0.10048	0.2443	0.940014	689	3	-0.15768	0.23799	0.42845	0.999998	965	1	-0.15768
MAP3K6	5	0.10072	0.24464	0.940014	690	3	-0.12785	0.96676	0.96721	0.999998	2675	0	-0.12785
PTGDR	5	0.10076	0.2447	0.940014	691	2	0.031359	0.32549	0.52338	0.999998	1192	2	0.031359
non-targeting_00130	1	0.10101	0.10147	0.931373	692	1	-0.28133	0.89899	0.89945	0.999998	2405	0	-0.28133
PPFIA3_P2	5	0.10128	0.24542	0.940014	693	3	-0.15938	0.58282	0.72317	0.999998	1749	1	-0.15938
RAB9A	5	0.10176	0.24608	0.940014	694	3	-0.12326	0.60396	0.74044	0.999998	1813	1	-0.12326
RNASEL	5	0.10182	0.24615	0.940014	695	2	-0.05283	0.94147	0.94164	0.999998	2577	0	-0.05283
non-targeting_00083	1	0.10186	0.10228	0.931373	696	1	-0.2176	0.89814	0.89862	0.999998	2401	0	-0.2176
CD52	5	0.10192	0.24629	0.940014	697	3	-0.12988	0.78086	0.82396	0.999998	2127	1	-0.12988
NGF	5	0.10217	0.24663	0.940054	698	3	-0.11566	0.29058	0.49691	0.999998	1128	2	-0.11566
non-targeting_00017	1	0.10247	0.1029	0.931373	699	1	-0.51871	0.89753	0.89795	0.999998	2398	0	-0.51871
non-targeting_00115	1	0.10324	0.10369	0.931373	700	1	-0.36753	0.89676	0.8972	0.999998	2394	0	-0.36753
BHMT2	5	0.10328	0.24823	0.940851	701	2	0.03006	0.028998	0.089453	0.766617	322	2	0.03006
MTMR2	5	0.10337	0.24839	0.940851	702	3	-0.19896	0.28736	0.49282	0.999998	1120	1	-0.19896
non-targeting_00242	1	0.10355	0.10402	0.931373	703	1	-0.25565	0.89645	0.89688	0.999998	2391	0	-0.25565
AMY2B	5	0.10364	0.24875	0.940851	704	3	-0.14975	0.98012	0.98059	0.999998	2724	0	-0.14975
HLA-DRB1	5	0.1037	0.24882	0.940851	705	3	-0.20285	0.5596	0.70381	0.999998	1688	1	-0.20285
PTS	5	0.10376	0.24892	0.940851	706	2	0.099666	0.22876	0.41612	0.999998	938	3	0.099666
ALDH4A1	5	0.10393	0.24917	0.940851	707	3	-0.14056	0.97548	0.97593	0.999998	2710	0	-0.14056
ATR	5	0.10429	0.24963	0.941365	708	2	0.32912	0.24539	0.43841	0.999998	988	3	0.32912
TPTE2_ENST00000400230.2	5	0.10484	0.25039	0.94256	709	3	-0.20209	0.58202	0.72251	0.999998	1747	2	-0.20209
ELSPBP1	5	0.10499	0.25062	0.94256	710	3	-0.20234	0.41174	0.58782	0.999998	1365	2	-0.20234
GLRA3	5	0.10569	0.25161	0.942983	711	2	-0.084542	0.45744	0.62304	0.999998	1456	2	-0.084542
GSS	5	0.10574	0.25166	0.942983	712	3	-0.24403	0.61357	0.74847	0.999998	1837	1	-0.24403
BRSK2	5	0.10639	0.25261	0.942983	713	2	0.11622	0.24297	0.43518	0.999998	979	3	0.11622
CES1	5	0.10672	0.25306	0.942983	714	3	-0.12586	0.80855	0.83812	0.999998	2180	1	-0.12586
TPK1	5	0.1071	0.25359	0.942983	715	2	-0.0096558	0.82638	0.84791	0.999998	2215	1	-0.0096558
AATK_ENST00000326724.4	5	0.10713	0.25365	0.942983	716	3	-0.1838	0.2964	0.50179	0.999998	1139	2	-0.1838
CFB	5	0.10733	0.25391	0.942983	717	3	-0.13966	0.93617	0.93633	0.999998	2552	0	-0.13966
ENOPH1	5	0.10795	0.25477	0.942983	718	2	-0.0035183	0.18299	0.35486	0.999998	803	2	-0.0035183
GAA	5	0.10815	0.25497	0.942983	719	2	0.020654	0.38756	0.56938	0.999998	1312	1	0.020654
S100B	5	0.1085	0.25543	0.942983	720	1	0.31307	0.018079	0.060411	0.630857	264	4	0.31307
GAPDH_P2	5	0.10857	0.25554	0.942983	721	3	-0.090802	0.9515	0.95157	0.999998	2620	0	-0.090802
EPHA5	5	0.10885	0.25596	0.942983	722	2	0.0039787	0.63035	0.76247	0.999998	1889	2	0.0039787
CUTA	5	0.1092	0.2564	0.942983	723	2	0.11257	0.58712	0.72655	0.999998	1763	2	0.11257
NAGLU	5	0.10921	0.25641	0.942983	724	3	-0.14772	0.40501	0.58264	0.999998	1348	1	-0.14772
SUCLG1	5	0.10955	0.25688	0.942983	725	1	-0.0055682	0.52165	0.67377	0.999998	1602	2	-0.0055682
ULK2	5	0.11025	0.25796	0.942983	726	2	0.18655	0.12842	0.27763	0.999998	642	3	0.18655
LIMK2	5	0.11029	0.25801	0.942983	727	3	-0.14191	0.8318	0.85098	0.999998	2228	1	-0.14191
PRKDC	5	0.1106	0.25843	0.942983	728	1	0.71584	0.011278	0.042091	0.512672	229	3	0.71584
NDUFA6	5	0.1113	0.25943	0.942983	729	1	0.87584	0.00036951	0.0017428	0.049855	99	4	0.87584
DGKE	5	0.1113	0.25943	0.942983	730	3	-0.15552	0.97133	0.97188	0.999998	2693	0	-0.15552
S100G	5	0.11144	0.25959	0.942983	731	3	-0.068975	0.92893	0.92901	0.999998	2517	0	-0.068975
FOLH1	5	0.11235	0.26091	0.942983	732	2	0.10298	0.21627	0.39989	0.999998	900	3	0.10298
HDC	5	0.11257	0.26128	0.942983	733	3	-0.11679	0.6734	0.78016	0.999998	1952	1	-0.11679
ACADSB	5	0.11282	0.26165	0.942983	734	3	-0.1591	0.13414	0.28583	0.999998	659	2	-0.1591
non-targeting_00213	1	0.113	0.11343	0.931373	735	1	-0.47265	0.887	0.88729	0.999998	2369	0	-0.47265
non-targeting_00175	1	0.11308	0.11352	0.931373	736	1	-0.23658	0.88692	0.88722	0.999998	2368	0	-0.23658
PROC_P2	5	0.11333	0.26234	0.942983	737	3	-0.14986	0.509	0.66371	0.999998	1579	2	-0.14986
PPP2R2D	5	0.11383	0.26305	0.942983	738	3	-0.10669	0.87227	0.87768	0.999998	2331	1	-0.10669
non-targeting_00054	1	0.11477	0.1152	0.931373	739	1	-0.28165	0.88523	0.88551	0.999998	2363	0	-0.28165
PLOD2	5	0.11487	0.26441	0.942983	740	3	-0.11703	0.833	0.85164	0.999998	2230	1	-0.11703
PTPRR	5	0.11497	0.26456	0.942983	741	2	-0.026007	0.89306	0.89436	0.999998	2381	1	-0.026007
SULT1A1	5	0.11512	0.2648	0.942983	742	3	-0.13316	0.18093	0.35204	0.999998	793	2	-0.13316
AK4	5	0.11547	0.26526	0.942983	743	2	-0.028531	0.58168	0.72225	0.999998	1745	1	-0.028531
CD46	5	0.1156	0.26547	0.942983	744	3	-0.094244	0.88273	0.88559	0.999998	2358	1	-0.094244
RSL24D1	4	0.11594	0.24503	0.940014	745	2	-0.17277	0.28587	0.44029	0.999998	1116	2	-0.17277
AKAP5	5	0.11607	0.26623	0.942983	746	3	-0.15199	0.93752	0.93769	0.999998	2558	0	-0.15199
FBP2	5	0.11653	0.26699	0.942983	747	2	0.031409	0.62632	0.75897	0.999998	1878	2	0.031409
CYP2D6	5	0.11667	0.26722	0.942983	748	3	-0.11617	0.52917	0.67951	0.999998	1617	2	-0.11617
STK40	5	0.11688	0.26751	0.942983	749	2	-0.061922	0.3085	0.51073	0.999998	1163	2	-0.061922
ADORA2B	5	0.1171	0.26782	0.942983	750	3	-0.13149	0.86485	0.87228	0.999998	2308	1	-0.13149
LHPP	5	0.11723	0.268	0.942983	751	2	-0.0026661	0.81201	0.83994	0.999998	2189	1	-0.0026661
PLA2G1B_P1	5	0.11725	0.26802	0.942983	752	3	-0.063722	0.97193	0.9724	0.999998	2697	0	-0.063722
F2	5	0.11758	0.26851	0.942983	753	3	-0.11124	0.82265	0.84579	0.999998	2208	1	-0.11124
ATP4A_P2	5	0.11776	0.26881	0.942983	754	2	-0.012929	0.2702	0.47092	0.999998	1071	1	-0.012929
HNF4G_P1	5	0.11789	0.269	0.942983	755	2	0.20532	0.15918	0.32163	0.999998	724	3	0.20532
CAMK2D	5	0.11792	0.26903	0.942983	756	2	-0.064568	0.74918	0.80941	0.999998	2073	1	-0.064568
ABCC8	5	0.11814	0.26936	0.942983	757	3	-0.14373	0.068183	0.18262	0.999998	489	1	-0.14373
MAPK8IP2	5	0.11815	0.26937	0.942983	758	3	-0.061787	0.86093	0.86954	0.999998	2300	1	-0.061787
GRK5	5	0.11853	0.26992	0.942983	759	3	-0.14444	0.79476	0.83079	0.999998	2152	1	-0.14444
BDH1_P2	5	0.11862	0.27	0.942983	760	3	-0.14697	0.70838	0.79282	0.999998	2010	1	-0.14697
TNFSF11	5	0.11892	0.27043	0.942983	761	3	-0.14127	0.93031	0.93043	0.999998	2529	0	-0.14127
ISG20	5	0.11904	0.27059	0.942983	762	2	0.038311	0.38314	0.56625	0.999998	1301	2	0.038311
KCNJ3	5	0.11943	0.2712	0.942983	763	2	0.012523	0.56491	0.70826	0.999998	1702	2	0.012523
ARPC2_P2	5	0.11953	0.27135	0.942983	764	3	-0.086793	0.92625	0.92624	0.999998	2505	0	-0.086793
non-targeting_00234	1	0.11953	0.11992	0.931373	765	1	-0.3818	0.88047	0.88068	0.999998	2355	0	-0.3818
PDE11A	5	0.11966	0.27157	0.942983	766	3	-0.087369	0.94043	0.94058	0.999998	2573	0	-0.087369
SERPINA1_P2	5	0.11994	0.27199	0.942983	767	2	-0.025292	0.2699	0.47054	0.999998	1069	1	-0.025292
NAGA	5	0.12001	0.27207	0.942983	768	3	-0.15296	0.95798	0.95825	0.999998	2639	0	-0.15296
IL6R	5	0.12007	0.27217	0.942983	769	2	0.017014	0.3617	0.55061	0.999998	1255	2	0.017014
PPM1B	5	0.12035	0.27253	0.942983	770	3	-0.061967	0.57745	0.71878	0.999998	1735	1	-0.061967
MATK	5	0.12085	0.27317	0.942983	771	3	-0.22859	0.81975	0.84415	0.999998	2204	1	-0.22859
PPCDC_P2	5	0.12097	0.27337	0.942983	772	3	-0.13076	0.72119	0.79784	0.999998	2029	1	-0.13076
PRKCZ_P2	5	0.12146	0.27405	0.942983	773	3	-0.20595	0.56669	0.70979	0.999998	1709	2	-0.20595
KCNJ1	5	0.12172	0.27442	0.942983	774	3	-0.14021	0.9603	0.96057	0.999998	2649	0	-0.14021
MAP3K11_P2	5	0.12174	0.27444	0.942983	775	3	-0.10844	0.7572	0.81297	0.999998	2084	1	-0.10844
CAMK2N1	5	0.12225	0.27513	0.942983	776	3	-0.1531	0.4077	0.58465	0.999998	1355	2	-0.1531
non-targeting_00205	1	0.1223	0.12262	0.931373	777	1	-0.19361	0.8777	0.87791	0.999998	2350	0	-0.19361
SLC7A11	5	0.12252	0.27543	0.942983	778	2	-0.03973	0.16651	0.33186	0.999998	748	2	-0.03973
non-targeting_00005	1	0.12261	0.12301	0.931373	779	1	-0.25	0.87739	0.87758	0.999998	2349	0	-0.25
non-targeting_00180	1	0.12269	0.1231	0.931373	780	1	-0.32611	0.87731	0.87752	0.999998	2348	0	-0.32611
HTR6	5	0.1227	0.27564	0.942983	781	3	-0.1676	0.2463	0.43955	0.999998	991	1	-0.1676
CYP2C18	5	0.12278	0.27573	0.942983	782	2	-0.011744	0.039512	0.1159	0.848146	378	2	-0.011744
ENST00000514491.1	5	0.12304	0.27607	0.942983	783	2	0.0	0.4804	0.64107	0.999998	1506	2	0.0
PTPN20B_ENST00000509631.1	5	0.12304	0.27607	0.942983	784	2	0.0	0.4804	0.64107	0.999998	1507	2	0.0
MAP3K8	5	0.12312	0.27619	0.942983	785	2	0.010711	0.56238	0.70613	0.999998	1694	2	0.010711
TREM1	5	0.12368	0.27696	0.942983	786	3	-0.097155	0.49245	0.65066	0.999998	1539	1	-0.097155
CA10	5	0.12381	0.27713	0.942983	787	2	0.093054	0.23971	0.43062	0.999998	969	3	0.093054
non-targeting_00224	1	0.12384	0.12421	0.931373	788	1	-0.38414	0.87616	0.87638	0.999998	2345	0	-0.38414
CALY_P1	5	0.12407	0.27748	0.942983	789	3	-0.089994	0.95498	0.95518	0.999998	2628	0	-0.089994
PCYT1B	5	0.1242	0.27767	0.942983	790	2	-0.027885	0.063453	0.1719	0.999998	470	1	-0.027885
MMP11	5	0.12438	0.27793	0.942983	791	3	-0.15792	0.85643	0.86665	0.999998	2290	1	-0.15792
PDP2	5	0.12447	0.27803	0.942983	792	3	-0.15751	0.47251	0.6349	0.999998	1494	2	-0.15751
ACTA1_P1	5	0.12485	0.27856	0.943258	793	2	0.007423	0.31448	0.51517	0.999998	1171	2	0.007423
CMA1	5	0.1252	0.27911	0.943258	794	3	-0.099921	0.95248	0.95266	0.999998	2624	0	-0.099921
CERK	5	0.12563	0.27967	0.943606	795	2	-0.052983	0.18168	0.35315	0.999998	799	1	-0.052983
MERTK	5	0.12581	0.27988	0.943606	796	3	-0.16383	0.56693	0.71	0.999998	1710	2	-0.16383
PRDX2	5	0.12623	0.28045	0.944391	797	1	0.11923	0.00053072	0.0024385	0.063357	109	4	0.11923
CHRNA6	5	0.12655	0.28085	0.94461	798	3	-0.085639	0.86723	0.87399	0.999998	2314	1	-0.085639
F5	5	0.12681	0.28127	0.944899	799	2	0.15107	0.1721	0.33984	0.999998	764	3	0.15107
TH_P1	5	0.12725	0.28193	0.945996	800	3	-0.19638	0.61155	0.74666	0.999998	1833	2	-0.19638
OPRM1	4	0.12758	0.2648	0.942983	801	3	-0.14379	0.54926	0.66668	0.999998	1665	1	-0.14379
ABCC2	5	0.1283	0.28348	0.94697	802	3	-0.088361	0.6159	0.75034	0.999998	1845	1	-0.088361
non-targeting_00024	1	0.12837	0.12869	0.931373	803	1	-0.31096	0.87163	0.87191	0.999998	2330	0	-0.31096
PPP2R5E	5	0.12864	0.28396	0.94697	804	2	0.25439	0.13036	0.28037	0.999998	650	3	0.25439
non-targeting_00072	1	0.12868	0.12899	0.931373	805	1	-0.24457	0.87132	0.87158	0.999998	2328	0	-0.24457
PAK6_P2	5	0.12878	0.28416	0.94697	806	2	0.34022	0.099604	0.23576	0.999998	569	3	0.34022
non-targeting_00106	1	0.12929	0.1296	0.931373	807	1	-0.19252	0.87071	0.87096	0.999998	2324	0	-0.19252
GRIN3A	5	0.12933	0.28493	0.94697	808	1	0.15627	0.14827	0.30603	0.999998	692	3	0.15627
TWF1	5	0.1297	0.28535	0.94697	809	2	-0.053461	0.83941	0.85569	0.999998	2248	1	-0.053461
CP	5	0.13002	0.28581	0.94697	810	3	-0.10768	0.89946	0.90008	0.999998	2407	1	-0.10768
KCNH2_P1	5	0.13006	0.28586	0.94697	811	3	-0.12495	0.39202	0.57271	0.999998	1321	2	-0.12495
ADCK2	5	0.13009	0.2859	0.94697	812	3	-0.15632	0.74081	0.80597	0.999998	2056	1	-0.15632
SLC38A3	5	0.13036	0.28634	0.94697	813	2	0.16664	0.19595	0.37237	0.999998	845	3	0.16664
CRP	5	0.13071	0.28687	0.94697	814	1	0.051546	0.28164	0.48569	0.999998	1103	3	0.051546
SAA1	5	0.13097	0.28727	0.94697	815	3	-0.15585	0.60529	0.74145	0.999998	1816	2	-0.15585
GPD1	5	0.13105	0.28736	0.94697	816	2	-0.056437	0.16452	0.32904	0.999998	738	1	-0.056437
SELP	5	0.13115	0.28747	0.94697	817	3	-0.10325	0.68072	0.7826	0.999998	1966	1	-0.10325
AARS	5	0.13139	0.28789	0.94697	818	2	-0.17114	0.84845	0.86131	0.999998	2270	1	-0.17114
ESRRG_ENST00000360012.3	5	0.1317	0.28833	0.94697	819	3	-0.17391	0.89661	0.89753	0.999998	2392	1	-0.17391
OGFOD2	5	0.13198	0.28875	0.94697	820	3	-0.14905	0.95927	0.95952	0.999998	2647	0	-0.14905
SLC32A1	5	0.13221	0.28908	0.94697	821	2	0.062947	0.242	0.43393	0.999998	977	3	0.062947
NCOA5	5	0.13274	0.28976	0.94697	822	3	-0.1149	0.98303	0.98333	0.999998	2737	0	-0.1149
OAS1	5	0.13277	0.28978	0.94697	823	3	-0.10086	0.90932	0.90955	0.999998	2444	1	-0.10086
DNPEP	5	0.1329	0.28997	0.94697	824	3	-0.18635	0.82976	0.84992	0.999998	2223	1	-0.18635
NFS1	5	0.13311	0.29023	0.94697	825	1	0.5268	0.026782	0.083349	0.738753	315	4	0.5268
IL3RA	5	0.1334	0.29059	0.94697	826	3	-0.10699	0.96534	0.96578	0.999998	2670	0	-0.10699
GOT2	5	0.13345	0.29065	0.94697	827	3	-0.098632	0.86431	0.87194	0.999998	2307	1	-0.098632
CLPX	5	0.13379	0.29114	0.94697	828	1	0.10332	0.04965	0.1401	0.93357	414	4	0.10332
MADD	5	0.13407	0.29156	0.94697	829	3	-0.087949	0.89885	0.89951	0.999998	2404	1	-0.087949
GABRG2	5	0.13414	0.29163	0.94697	830	3	-0.050841	0.53244	0.68221	0.999998	1627	2	-0.050841
RFK	5	0.13473	0.29246	0.94697	831	3	-0.087619	0.85521	0.86579	0.999998	2285	1	-0.087619
MC2R	5	0.13482	0.29256	0.94697	832	2	0.038934	0.7135	0.79485	0.999998	2018	1	0.038934
CD247	5	0.13484	0.29258	0.94697	833	3	-0.12016	0.62129	0.75477	0.999998	1860	2	-0.12016
non-targeting_00164	1	0.13513	0.13533	0.931373	834	1	-0.28821	0.86487	0.86519	0.999998	2309	0	-0.28821
TNFSF13B	5	0.13516	0.29303	0.947204	835	1	0.010963	0.40722	0.58427	0.999998	1354	2	0.010963
CACNB2_P1	5	0.13551	0.29349	0.947204	836	2	-0.010202	0.36042	0.5496	0.999998	1252	2	-0.010202
ACPT_ENST00000270593.1	5	0.13585	0.29391	0.947204	837	1	0.10112	0.18253	0.35423	0.999998	802	3	0.10112
non-targeting_00153	1	0.1359	0.13615	0.931373	838	1	-0.44413	0.8641	0.86443	0.999998	2306	0	-0.44413
FTCD_P2	5	0.13594	0.29402	0.947204	839	3	-0.069315	0.52402	0.67558	0.999998	1610	1	-0.069315
NEK10	5	0.13614	0.29433	0.947204	840	3	-0.14442	0.93785	0.93803	0.999998	2560	0	-0.14442
non-targeting_00225	1	0.13667	0.13687	0.931373	841	1	-0.26426	0.86333	0.86362	0.999998	2305	0	-0.26426
C1QC	5	0.13687	0.2953	0.949243	842	2	-0.032999	0.055037	0.15257	0.960165	437	2	-0.032999
CYP2C8	5	0.13756	0.29631	0.949326	843	2	-0.063016	0.90543	0.90576	0.999998	2434	1	-0.063016
KCNE1	5	0.13768	0.2965	0.949326	844	3	-0.19015	0.9366	0.93675	0.999998	2555	0	-0.19015
VAMP1	5	0.13835	0.29746	0.950791	845	2	0.13041	0.12716	0.27571	0.999998	637	3	0.13041
GOT1	5	0.13862	0.29782	0.95088	846	2	-0.027014	0.38104	0.56478	0.999998	1296	1	-0.027014
GRIN2D	5	0.13916	0.29862	0.952091	847	2	-0.00097566	0.55359	0.69919	0.999998	1673	2	-0.00097566
SIRPD	5	0.1396	0.2992	0.952091	848	2	-0.015735	0.34082	0.53478	0.999998	1217	2	-0.015735
SLC6A9	5	0.13961	0.29921	0.952091	849	3	-0.146	0.94831	0.94839	0.999998	2601	0	-0.146
GLDC	5	0.14018	0.30002	0.952456	850	3	-0.12061	0.80629	0.83693	0.999998	2174	1	-0.12061
AGXT2	5	0.14036	0.30028	0.952456	851	3	-0.2032	0.20604	0.38616	0.999998	871	2	-0.2032
INPP5D	5	0.14065	0.30063	0.952456	852	3	-0.17273	0.34571	0.53831	0.999998	1226	1	-0.17273
PTGIS	5	0.14096	0.30103	0.952456	853	2	0.074573	0.12007	0.26579	0.999998	624	2	0.074573
SLC16A2	5	0.14105	0.30116	0.952456	854	3	-0.14399	0.4763	0.63799	0.999998	1500	2	-0.14399
IGF1R_P2	5	0.14118	0.30134	0.952456	855	2	0.028221	0.61467	0.74936	0.999998	1841	2	0.028221
SCN9A	5	0.14186	0.30221	0.95307	856	2	0.076161	0.20229	0.38094	0.999998	858	3	0.076161
non-targeting_00122	1	0.14236	0.14266	0.931373	857	1	-0.26532	0.85764	0.85791	0.999998	2293	0	-0.26532
EGLN3	5	0.14245	0.30301	0.954531	858	3	-0.11355	0.98829	0.98856	0.999998	2766	0	-0.11355
PLK4	5	0.14266	0.30336	0.954582	859	2	1.4711	0.010522	0.039966	0.50081	224	3	1.4711
non-targeting_00014	1	0.14313	0.1435	0.931373	860	1	-0.3347	0.85687	0.85709	0.999998	2292	0	-0.3347
ABO_P2	5	0.14331	0.30428	0.955347	861	3	-0.12919	0.48449	0.64434	0.999998	1524	2	-0.12919
NTRK2	5	0.14334	0.30432	0.955347	862	2	0.0066902	0.30727	0.50984	0.999998	1161	2	0.0066902
C5	5	0.1437	0.30484	0.955347	863	3	-0.096527	0.71066	0.79379	0.999998	2014	1	-0.096527
BMP2K	5	0.14389	0.3051	0.955347	864	3	-0.1392	0.16718	0.33286	0.999998	751	2	-0.1392
MAN2A1	5	0.14402	0.30529	0.955347	865	2	-0.05109	0.76539	0.81676	0.999998	2097	1	-0.05109
KCNH7	5	0.14458	0.30604	0.956111	866	3	-0.064957	0.47202	0.63454	0.999998	1493	1	-0.064957
PIGA	5	0.1447	0.30621	0.956111	867	1	0.04436	0.64247	0.76964	0.999998	1908	1	0.04436
MAST4_ENST00000403625.2	5	0.14538	0.30717	0.956786	868	1	0.0	0.14334	0.29889	0.999998	680	2	0.0
ENST00000404260.3	5	0.14538	0.30717	0.956786	869	1	0.0	0.14334	0.29889	0.999998	681	2	0.0
SUCNR1	5	0.146	0.30803	0.956786	870	3	-0.1221	0.52962	0.6799	0.999998	1619	2	-0.1221
ADRA1D	5	0.14605	0.30812	0.956786	871	2	0.081613	0.20319	0.38217	0.999998	861	3	0.081613
CAST_P2	5	0.14639	0.30863	0.957332	872	1	0.0054143	0.026829	0.083475	0.738753	316	2	0.0054143
CKMT2	5	0.14741	0.31009	0.96025	873	2	-0.065481	0.67979	0.78227	0.999998	1965	1	-0.065481
NDUFB5	5	0.14774	0.31056	0.96025	874	3	-0.12105	0.39067	0.57158	0.999998	1317	2	-0.12105
CD80	5	0.14799	0.3109	0.96025	875	3	-0.064919	0.48747	0.64672	0.999998	1530	2	-0.064919
GABBR1_P2	5	0.14978	0.31342	0.964769	876	2	0.30213	0.037813	0.11143	0.843768	366	3	0.30213
PKIA	5	0.15019	0.31399	0.964769	877	2	-0.012308	0.5685	0.7113	0.999998	1712	1	-0.012308
AKAP13	5	0.15047	0.31443	0.964769	878	2	0.16856	0.19242	0.36764	0.999998	829	3	0.16856
PTPRD_ENST00000356435.5	5	0.15061	0.3146	0.964769	879	2	0.0	0.074953	0.19747	0.999998	509	3	0.0
ENST00000540109.1	5	0.15061	0.3146	0.964769	880	2	0.0	0.074953	0.19747	0.999998	510	3	0.0
PNMT	5	0.15096	0.31501	0.964769	881	3	-0.1603	0.22367	0.40951	0.999998	919	1	-0.1603
ROCK1	5	0.15102	0.31512	0.964769	882	2	-0.071471	0.91845	0.91861	0.999998	2482	0	-0.071471
WDSUB1	5	0.15135	0.31554	0.964823	883	3	-0.089136	0.48435	0.64422	0.999998	1523	2	-0.089136
BST1	5	0.15157	0.31582	0.964823	884	3	-0.10889	0.75108	0.81026	0.999998	2076	1	-0.10889
GMPR	5	0.15302	0.31774	0.969173	885	3	-0.16099	0.48526	0.64491	0.999998	1526	1	-0.16099
MMACHC	5	0.15314	0.31792	0.969173	886	2	-0.0081828	0.78561	0.82629	0.999998	2137	1	-0.0081828
PADI4	5	0.15365	0.31861	0.970228	887	2	0.12677	0.17398	0.34249	0.999998	768	3	0.12677
non-targeting_00197	1	0.15419	0.15432	0.931373	888	1	-0.25004	0.84581	0.84588	0.999998	2265	0	-0.25004
PDGFRA_ENST00000257290.5	5	0.15449	0.31977	0.972695	889	2	-0.060163	0.076608	0.20083	0.999998	515	2	-0.060163
